State,Institute,Course,Seats,Fee
Delhi,"AIIMS, Delhi",MBBS,48,1350
Delhi,"AIIMS, Delhi",MBBS,0+3(VV),1350
Delhi,"AIIMS, Delhi",MBBS,0+3(VV),1350
Delhi,"MAMC, Delhi",MBBS,14,2095
Delhi,"MAMC, Delhi",MBBS,0+9(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+9(VV),2095
Delhi,"VMMC, Delhi",MBBS,10,41000
Delhi,"VMMC, Delhi",MBBS,0+8(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+8(VV),41000
Delhi,"AIIMS, Delhi",MBBS,33,1350
Delhi,"AIIMS, Delhi",MBBS,1,1350
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,5,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+5(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+5(VV),41000
Delhi,"VMMC, Delhi",MBBS,5,41000
Delhi,"VMMC, Delhi",MBBS,0+4(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+4(VV),41000
Delhi,"AIIMS, Delhi",MBBS,12,1350
Pondicherry,"JIPMER, Puducherry",MBBS,52,1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+11(VV),1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+10(VV),1200
Delhi,"MAMC, Delhi",MBBS,9,2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Rajasthan,"AIIMS, Jodhpur",MBBS,57,1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+10(VV),1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+8(VV),1350
Delhi,"UCMS, Delhi",MBBS,9,31340
Delhi,"UCMS, Delhi",MBBS,0+8(VV),31340
Delhi,"UCMS, Delhi",MBBS,0+8(VV),31340
Madhya Pradesh,"AIIMS, Bhopal",MBBS,47,1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,3+18(VV),1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+15(VV),1350
Delhi,"AIIMS, Delhi",MBBS,18,1350
Delhi,"AIIMS, Delhi",MBBS,0+1(VV),1350
Delhi,"AIIMS, Delhi",MBBS,0+1(VV),1350
Chandigarh,"GMC, Chandigarh",MBBS,10,24979
Chandigarh,"GMC, Chandigarh",MBBS,0+1(VV),24979
Chandigarh,"GMC, Chandigarh",MBBS,0+1(VV),24979
Delhi,"VMMC, Delhi",MBBS,3,41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Pondicherry,"JIPMER, Puducherry",MBBS,35,1200
Pondicherry,"JIPMER, Puducherry",MBBS,1+3(VV),1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+3(VV),1200
Rajasthan,"AIIMS, Jodhpur",MBBS,38,1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+1(VV),1350
Rajasthan,"AIIMS, Jodhpur",MBBS,0+1(VV),1350
Odisha,"AIIMS, Bhubaneswar",MBBS,49,1350
Odisha,"AIIMS, Bhubaneswar",MBBS,1+15(VV),1350
Odisha,"AIIMS, Bhubaneswar",MBBS,1+8(VV),1350
Delhi,"MAMC, Delhi",MBBS,4,2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+2(VV),2095
Uttarakhand,"AIIMS, Rishikesh",MBBS,48,1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,1+17(VV),1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,2+11(VV),1350
Gujarat,"BJMC, Ahmedabad",MBBS,14,25000
Gujarat,"BJMC, Ahmedabad",MBBS,0+2(VV),25000
Gujarat,"BJMC, Ahmedabad",MBBS,0+2(VV),25000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,2,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+2(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+2(VV),41000
Maharashtra,"AIIMS, Nagpur",MBBS,50,1350
Maharashtra,"AIIMS, Nagpur",MBBS,3+7(VV),1350
Maharashtra,"AIIMS, Nagpur",MBBS,1+5(VV),1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,33,1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,0+13(VV),1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,0+11(VV),1350
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,5,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+4(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+4(VV),41000
Maharashtra,"Seth GS, Mumbai",MBBS,15,158600
Maharashtra,"Seth GS, Mumbai",MBBS,1+4(VV),158600
Maharashtra,"Seth GS, Mumbai",MBBS,0+3(VV),158600
Delhi,"Lady Hardinge, Delhi",MBBS,14,1665
Delhi,"Lady Hardinge, Delhi",MBBS,0+10(VV),1665
Delhi,"Lady Hardinge, Delhi",MBBS,0+8(VV),1665
Madhya Pradesh,"AIIMS, Bhopal",MBBS,33,1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+6(VV),1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+6(VV),1350
Rajasthan,"AIIMS, Jodhpur",MBBS,14,1350
Kerala,"Govt Med Coll, Kozhikode",MBBS,15,23150
Kerala,"Govt Med Coll, Kozhikode",MBBS,0+4(VV),23150
Kerala,"Govt Med Coll, Kozhikode",MBBS,0+4(VV),23150
Delhi,"VMMC, Delhi",MBBS,53,41000
Delhi,"VMMC, Delhi",MBBS,0+6(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+6(VV),41000
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,14,18073
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,2+9(VV),18073
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,0+8(VV),18073
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,10,18073
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,0+10(VV),18073
Tamil Nadu,"Madras Med Coll, Chennai",MBBS,0+10(VV),18073
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,46,1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,1+14(VV),1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,0+12(VV),1350
Chhattisgarh,"AIIMS, Raipur",MBBS,48,1350
Chhattisgarh,"AIIMS, Raipur",MBBS,5+29(VV),1350
Chhattisgarh,"AIIMS, Raipur",MBBS,0+25(VV),1350
Delhi,"AIIMS, Delhi",MBBS,9,1350
Odisha,"AIIMS, Bhubaneswar",MBBS,32,1350
Odisha,"AIIMS, Bhubaneswar",MBBS,0+12(VV),1350
Odisha,"AIIMS, Bhubaneswar",MBBS,0+11(VV),1350
Maharashtra,"AIIMS, Nagpur",MBBS,32,1350
Maharashtra,"AIIMS, Nagpur",MBBS,1+11(VV),1350
Maharashtra,"AIIMS, Nagpur",MBBS,0+10(VV),1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,12,1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+2(VV),1350
Madhya Pradesh,"AIIMS, Bhopal",MBBS,0+2(VV),1350
Delhi,"UCMS, Delhi",MBBS,2,31340
Delhi,"UCMS, Delhi",MBBS,1+1(VV),31340
Delhi,"UCMS, Delhi",MBBS,0+2(VV),31340
Pondicherry,"JIPMER, Puducherry",MBBS,12,1200
Pondicherry,"JIPMER, Puducherry",MBBS,1+3(VV),1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+3(VV),1200
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,15,64350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,4+2(VV),64350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,1+2(VV),64350
Rajasthan,"SMS, Jaipur",MBBS,10,96100
Rajasthan,"SMS, Jaipur",MBBS,2+5(VV),96100
Rajasthan,"SMS, Jaipur",MBBS,0+5(VV),96100
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,38,33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,6+23(VV),33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,1+19(VV),33739
Uttarakhand,"AIIMS, Rishikesh",MBBS,12,1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,0+3(VV),1350
Uttarakhand,"AIIMS, Rishikesh",MBBS,1+3(VV),1350
Delhi,"Lady Hardinge, Delhi",MBBS,2,1665
Punjab,"AIIMS, Bathinda",MBBS,39,1350
Punjab,"AIIMS, Bathinda",MBBS,4+14(VV),1350
Punjab,"AIIMS, Bathinda",MBBS,0+13(VV),1350
Telangana,"AIIMS, Bibinagar",MBBS,38,1350
Telangana,"AIIMS, Bibinagar",MBBS,8+21(VV),1350
Telangana,"AIIMS, Bibinagar",MBBS,2+21(VV),1350
Rajasthan,"SMS, Jaipur",MBBS,4,96100
Rajasthan,"SMS, Jaipur",MBBS,0+1(VV),96100
Chandigarh,"GMC, Chandigarh",MBBS,2,24979
Chandigarh,"GMC, Chandigarh",MBBS,0+2(VV),24979
Chandigarh,"GMC, Chandigarh",MBBS,0+2(VV),24979
Bihar,"AIIMS, Patna",MBBS,50,1350
Bihar,"AIIMS, Patna",MBBS,4+22(VV),1350
Bihar,"AIIMS, Patna",MBBS,1+13(VV),1350
Bihar,"AIIMS, Patna",MBBS,1,1350
Delhi,"Lady Hardinge, Delhi",MBBS,9,1665
Delhi,"Lady Hardinge, Delhi",MBBS,0+4(VV),1665
Delhi,"Lady Hardinge, Delhi",MBBS,0+4(VV),1665
Chhattisgarh,"AIIMS, Raipur",MBBS,31,1350
Chhattisgarh,"AIIMS, Raipur",MBBS,5+20(VV),1350
Chhattisgarh,"AIIMS, Raipur",MBBS,0+19(VV),1350
Maharashtra,"AIIMS, Nagpur",MBBS,11,1350
Maharashtra,"AIIMS, Nagpur",MBBS,0+2(VV),1350
Maharashtra,"AIIMS, Nagpur",MBBS,1+1(VV),1350
Delhi,"UCMS, Delhi",MBBS,7,31340
Delhi,"UCMS, Delhi",MBBS,1+5(VV),31340
Delhi,"UCMS, Delhi",MBBS,0+5(VV),31340
Delhi,"MAMC, Delhi",MBBS,94,2095
Delhi,"MAMC, Delhi",MBBS,2+20(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+20(VV),2095
Odisha,"AIIMS, Bhubaneswar",MBBS,11,1350
Odisha,"AIIMS, Bhubaneswar",MBBS,0+4(VV),1350
Odisha,"AIIMS, Bhubaneswar",MBBS,0+2(VV),1350
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,9,33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,1+2(VV),33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,0+2(VV),33739
West Bengal,"AIIMS, Kalyani",MBBS,48,1350
West Bengal,"AIIMS, Kalyani",MBBS,6+20(VV),1350
West Bengal,"AIIMS, Kalyani",MBBS,0+19(VV),1350
Delhi,"Dr BSA Med Coll, Delhi",MBBS,8,75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,6+2(VV),75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,1+5(VV),75000
Punjab,"AIIMS, Bathinda",MBBS,25,1350
Punjab,"AIIMS, Bathinda",MBBS,3+8(VV),1350
Punjab,"AIIMS, Bathinda",MBBS,0+8(VV),1350
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,30,41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+19(VV),41000
Delhi,"ABVIMS (Dr RML Hosp), Delhi",MBBS,0+19(VV),41000
Rajasthan,"SMS, Jaipur",MBBS,15,96100
Rajasthan,"SMS, Jaipur",MBBS,0+9(VV),96100
Rajasthan,"SMS, Jaipur",MBBS,0+9(VV),96100
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,33,1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,4+9(VV),1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,0+8(VV),1350
Uttar Pradesh,"KGMU, Lucknow",MBBS,14,47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,1+8(VV),47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,2+6(VV),47600
Kerala,"Govt Med Coll, Kozhikode",MBBS,10,23150
Kerala,"Govt Med Coll, Kozhikode",MBBS,1+3(VV),23150
Kerala,"Govt Med Coll, Kozhikode",MBBS,0+3(VV),23150
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,47,1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,13+23(VV),1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,3+17(VV),1350
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,25,33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,7+9(VV),33739
Uttar Pradesh,"IMS(BHU), Varanasi",MBBS,1+9(VV),33739
Chhattisgarh,"AIIMS, Raipur",MBBS,12,1350
Chhattisgarh,"AIIMS, Raipur",MBBS,1+7(VV),1350
Chhattisgarh,"AIIMS, Raipur",MBBS,0+7(VV),1350
Bihar,"AIIMS, Patna",MBBS,32,1350
Bihar,"AIIMS, Patna",MBBS,4+14(VV),1350
Bihar,"AIIMS, Patna",MBBS,2+10(VV),1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,38,1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,6+13(VV),1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,2+11(VV),1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,1,1350
Delhi,"Dr BSA Med Coll, Delhi",MBBS,2,75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,1+1(VV),75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,0+1(VV),75000
Telangana,"Gandhi Med Coll, Secunderabad",MBBS,14,14000
Telangana,"Gandhi Med Coll, Secunderabad",MBBS,2+7(VV),14000
Telangana,"Gandhi Med Coll, Secunderabad",MBBS,0+8(VV),14000
Delhi,"VMMC, Delhi",MBBS,4,41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"NDMC Med College, Delhi",MBBS,4,105500
Delhi,"NDMC Med College, Delhi",MBBS,3+1(VV),105500
Delhi,"NDMC Med College, Delhi",MBBS,0+4(VV),105500
Bihar,"AIIMS, Patna",MBBS,12,1350
Bihar,"AIIMS, Patna",MBBS,1+7(VV),1350
Bihar,"AIIMS, Patna",MBBS,0+7(VV),1350
Punjab,"AIIMS, Bathinda",MBBS,10,1350
Punjab,"AIIMS, Bathinda",MBBS,2+5(VV),1350
Punjab,"AIIMS, Bathinda",MBBS,0+5(VV),1350
Delhi,"ESI, Basaidarpur, Delhi",MBBS,3,100000
Delhi,"ESI, Basaidarpur, Delhi",MBBS,0+3(VV),100000
Uttar Pradesh,"KGMU, Lucknow",MBBS,4,47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,0+3(VV),47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,1+2(VV),47600
Gujarat,"AIIMS, Rajkot",MBBS,7,1350
Gujarat,"AIIMS, Rajkot",MBBS,0+2(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,0+2(VV),1350
Maharashtra,"BJMC, Pune",MBBS,13,158600
Maharashtra,"BJMC, Pune",MBBS,4+1(VV),158600
Maharashtra,"BJMC, Pune",MBBS,0+1(VV),158600
Gujarat,"AIIMS, Rajkot",MBBS,29,1350
Gujarat,"AIIMS, Rajkot",MBBS,7+13(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,1+16(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,1,1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,12,1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,2+7(VV),1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,2+3(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,19,1350
Gujarat,"AIIMS, Rajkot",MBBS,6+8(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,2+7(VV),1350
Gujarat,"AIIMS, Rajkot",MBBS,1,1350
Telangana,"AIIMS, Bibinagar",MBBS,26,1350
Telangana,"AIIMS, Bibinagar",MBBS,6+15(VV),1350
Telangana,"AIIMS, Bibinagar",MBBS,2+14(VV),1350
Jammu and Kashmir,"Govt Med Coll, Srinagar",MBBS,11,26250
Jammu and Kashmir,"Govt Med Coll, Srinagar",MBBS,1,26250
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,25,1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,4+10(VV),1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,2+9(VV),1350
Chandigarh,"GMC, Chandigarh",MBBS,6,24979
Chandigarh,"GMC, Chandigarh",MBBS,3+3(VV),24979
Chandigarh,"GMC, Chandigarh",MBBS,1+2(VV),24979
Chandigarh,"GMC, Chandigarh",MBBS,1,24979
West Bengal,"Medical College, Kolkata",MBBS,15,9000
West Bengal,"Medical College, Kolkata",MBBS,2+5(VV),9000
West Bengal,"Medical College, Kolkata",MBBS,0+5(VV),9000
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,32,1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,3+23(VV),1350
Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,1+17(VV),1350
Maharashtra,"Seth GS, Mumbai",MBBS,10,158600
Maharashtra,"Seth GS, Mumbai",MBBS,4+5(VV),158600
Maharashtra,"Seth GS, Mumbai",MBBS,0+5(VV),158600
Gujarat,"BJMC, Ahmedabad",MBBS,4,25000
Gujarat,"BJMC, Ahmedabad",MBBS,1+1(VV),25000
Gujarat,"BJMC, Ahmedabad",MBBS,0+2(VV),25000
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,39,1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,12+24(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,5+21(VV),1350
Delhi,"VMMC, Delhi",MBBS,12,41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,5,75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,2+3(VV),75000
Delhi,"Dr BSA Med Coll, Delhi",MBBS,1+3(VV),75000
Pondicherry,"JIPMER, Puducherry",MBBS,19,1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+4(VV),1200
Pondicherry,"JIPMER, Puducherry",MBBS,0+4(VV),1200
Delhi,"VMMC, Delhi",MBBS,33,41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Delhi,"VMMC, Delhi",MBBS,0+1(VV),41000
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,10,1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,2+5(VV),1350
Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,1+4(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,39,1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,9+19(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,3+19(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,1,1350
Delhi,"UCMS, Delhi",MBBS,58,31340
Delhi,"UCMS, Delhi",MBBS,2+41(VV),31340
Delhi,"UCMS, Delhi",MBBS,2+39(VV),31340
Jharkhand,"AIIMS, Deoghar",MBBS,48,1350
Jharkhand,"AIIMS, Deoghar",MBBS,10+30(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,4+29(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,2,1350
Uttar Pradesh,"KGMU, Lucknow",MBBS,9,47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,5+3(VV),47600
Uttar Pradesh,"KGMU, Lucknow",MBBS,2+4(VV),47600
Telangana,"AIIMS, Bibinagar",MBBS,9,1350
Telangana,"AIIMS, Bibinagar",MBBS,2+3(VV),1350
Telangana,"AIIMS, Bibinagar",MBBS,0+5(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,26,1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,10+15(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,2+16(VV),1350
Rajasthan,"RUHS, Jaipur",MBBS,7,96029
Rajasthan,"RUHS, Jaipur",MBBS,5+1(VV),96029
Rajasthan,"RUHS, Jaipur",MBBS,0+4(VV),96029
Jammu and Kashmir,"AIIMS, Jammu",MBBS,26,1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,10+13(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,2+12(VV),1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,12,1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,1+3(VV),1350
Andhra Pradesh,"AIIMS, Mangalagiri",MBBS,0+3(VV),1350
Assam,"AIIMS, Guwahati",MBBS,38,1350
Assam,"AIIMS, Guwahati",MBBS,11+16(VV),1350
Assam,"AIIMS, Guwahati",MBBS,7+14(VV),1350
Assam,"AIIMS, Guwahati",MBBS,1,1350
West Bengal,"AIIMS, Kalyani",MBBS,31,1350
West Bengal,"AIIMS, Kalyani",MBBS,7+17(VV),1350
West Bengal,"AIIMS, Kalyani",MBBS,1+17(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,10,1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,2+4(VV),1350
Uttar Pradesh,"AIIMS, Rai Bareli",MBBS,1+2(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,32,1350
Jharkhand,"AIIMS, Deoghar",MBBS,16+12(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,4+18(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,1,1350
West Bengal,"IPGMER, Kolkata",MBBS,3,9000
West Bengal,"IPGMER, Kolkata",MBBS,0+1(VV),9000
West Bengal,"IPGMER, Kolkata",MBBS,0+1(VV),9000
Kerala,"Medical College, Trivandrum",MBBS,13,23150
Kerala,"Medical College, Trivandrum",MBBS,3+3(VV),23150
Kerala,"Medical College, Trivandrum",MBBS,1+3(VV),23150
Delhi,"NDMC Med College, Delhi",MBBS,3,105500
Delhi,"NDMC Med College, Delhi",MBBS,2+1(VV),105500
Delhi,"NDMC Med College, Delhi",MBBS,1+2(VV),105500
Delhi,"NDMC Med College, Delhi",MBBS,1,105500
Gujarat,"BJMC, Ahmedabad",MBBS,9,25000
Gujarat,"BJMC, Ahmedabad",MBBS,5+4(VV),25000
Gujarat,"BJMC, Ahmedabad",MBBS,2+5(VV),25000
Gujarat,"BJMC, Ahmedabad",MBBS,1,25000
Delhi,"NDMC Med College, Delhi",MBBS,1,105500
Delhi,"NDMC Med College, Delhi",MBBS,1,105500
Delhi,"NDMC Med College, Delhi",MBBS,0+1(VV),105500
Delhi,"NDMC Med College, Delhi",MBBS,1,105500
Rajasthan,"RUHS, Jaipur",MBBS,2,96029
Rajasthan,"RUHS, Jaipur",MBBS,2,96029
Delhi,"MAMC, Delhi",MBBS,5,2095
Delhi,"MAMC, Delhi",MBBS,0+3(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+3(VV),2095
West Bengal,"AIIMS, Kalyani",MBBS,12,1350
West Bengal,"AIIMS, Kalyani",MBBS,1+8(VV),1350
West Bengal,"AIIMS, Kalyani",MBBS,0+7(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,9,1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,1+7(VV),1350
Jammu and Kashmir,"AIIMS, Jammu",MBBS,0+8(VV),1350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,9,64350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,3+4(VV),64350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,1+4(VV),64350
Karnataka,"Bangalore Med Coll, Bangalore",MBBS,1,64350
Assam,"AIIMS, Guwahati",MBBS,26,1350
Assam,"AIIMS, Guwahati",MBBS,6+14(VV),1350
Assam,"AIIMS, Guwahati",MBBS,2+13(VV),1350
Assam,"AIIMS, Guwahati",MBBS,3,1350
Delhi,"ESI, Basaidarpur, Delhi",MBBS,1,100000
Delhi,"ESI, Basaidarpur, Delhi",MBBS,0+1(VV),100000
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,10,158600
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,9,158600
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,3+4(VV),158600
Gujarat,"Govt Med Coll, Surat",MBBS,13,25000
Gujarat,"Govt Med Coll, Surat",MBBS,4+3(VV),25000
Gujarat,"Govt Med Coll, Surat",MBBS,1+4(VV),25000
Jharkhand,"AIIMS, Deoghar",MBBS,12,1350
Jharkhand,"AIIMS, Deoghar",MBBS,2+5(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,1+4(VV),1350
Jharkhand,"AIIMS, Deoghar",MBBS,1,1350
Delhi,"MAMC, Delhi",MBBS,3,2095
Delhi,"MAMC, Delhi",MBBS,0+1(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+1(VV),2095
Maharashtra,"Seth GS, Mumbai",MBBS,4,158600
Maharashtra,"Seth GS, Mumbai",MBBS,2+2(VV),158600
Maharashtra,"Seth GS, Mumbai",MBBS,0+3(VV),158600
Delhi,"Lady Hardinge, Delhi",MBBS,70,1665
Delhi,"Lady Hardinge, Delhi",MBBS,0+34(VV),1665
Delhi,"Lady Hardinge, Delhi",MBBS,1+32(VV),1665
Delhi,"MAMC, Delhi",MBBS,50,2095
Delhi,"MAMC, Delhi",MBBS,0+16(VV),2095
Delhi,"MAMC, Delhi",MBBS,0+16(VV),2095
Haryana,"Pt BD Sharma, Rohtak",MBBS,4,61410
Punjab,"Govt Med Coll, Patiala",MBBS,13,192000
Punjab,"Govt Med Coll, Patiala",MBBS,6+6(VV),192000
Punjab,"Govt Med Coll, Patiala",MBBS,1+8(VV),192000
Bihar,"Patna Med Coll, Patna",MBBS,7,9500
Bihar,"Patna Med Coll, Patna",MBBS,1+3(VV),9500
Bihar,"Patna Med Coll, Patna",MBBS,0+4(VV),9500
Pondicherry,"JIPMER, Karaikal",MBBS,16,1200
Pondicherry,"JIPMER, Karaikal",MBBS,11+5(VV),1200
Pondicherry,"JIPMER, Karaikal",MBBS,5+6(VV),1200
Kerala,"Medical College, Trivandrum",MBBS,11,23150
Kerala,"Medical College, Trivandrum",MBBS,9,23150
Kerala,"Medical College, Trivandrum",MBBS,0+7(VV),23150
Rajasthan,"RUHS, Jaipur",MBBS,6,96029
Rajasthan,"RUHS, Jaipur",MBBS,6,96029
Rajasthan,"RUHS, Jaipur",MBBS,1+4(VV),96029
Rajasthan,"RUHS, Jaipur",MBBS,3,96029
Haryana,"ESI Med Coll, Faridabad",MBBS,7,100000
Haryana,"ESI Med Coll, Faridabad",MBBS,1+5(VV),100000
Haryana,"ESI Med Coll, Faridabad",MBBS,2+4(VV),100000
Assam,"AIIMS, Guwahati",MBBS,10,1350
Assam,"AIIMS, Guwahati",MBBS,2+6(VV),1350
Assam,"AIIMS, Guwahati",MBBS,0+7(VV),1350
Rajasthan,"SP Med Coll, Bikaner",MBBS,15,96100
Rajasthan,"SP Med Coll, Bikaner",MBBS,7+3(VV),96100
